フィーチャID,形状(WKT),名称,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
58,POINT(137.591239213943 35.1891453208864),【新城設楽】面ノ木ビジターセンター,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:21:20
59,POINT(137.019950151443 34.5841375322434),【東三河】「道の駅」伊良湖クリスタルポルト,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/24 14:26:34
60,POINT(137.272282111615 34.6615917877409),【東三河】「道の駅」田原めっくんはうす,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:23:22
61,POINT(137.108227014542 35.1864797488845),【尾張】２００５年記念と長久手,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/19 09:58:51
62,POINT(136.947627067566 34.9988508534034),【知多】あいち健康の森,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/02/09 09:58:31
63,POINT(137.424824237823 34.8746651676126),【東三河】ウォーキングセンター及び本宮山,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 13:24:27
64,POINT(137.47683763504 34.8958312240894),【新城設楽】グリーンセンターしんしろ,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:39:17
65,POINT(137.555042184116 34.9248961833028),【新城設楽】こんたく長篠,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:39:55
66,POINT(137.623039484024 35.0054113336019),【新城設楽】愛知県民の森,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:40:53
67,POINT(137.613512277603 34.9702870827441),【新城設楽】湯谷温泉,"","",システム管理者,2015/01/26 15:48:17,システム管理者,2023/01/23 11:41:27
68,POINT(137.287226915359 34.9187337055774),【西三河】はいらっせぬかた,"","",システム管理者,2022/12/12 13:43:37,システム管理者,2023/01/19 11:57:11
